イチゴの品種「あまおう」の名前の由来となった4つの形容詞とは、「あかい」「まるい」「おおきい」と何でしょう？,うまい,うれしい,うつくしい,うるわしい,うまい,あまおうは福岡県で育成されたイチゴの品種で、「あかい」「まるい」「おおきい」「うまい」の頭文字をとってネーミングされました。
明治の製品である「明治ミルクチョコレート」は、西暦何年に販売を開始したでしょう？,1916年,1926年,1936年,1946年,1926年,1926年9月13日に販売を開始、今年(2024年)で98年となります。再来年には100周年をむかえることになりますね。なお、現行のパッケージデザインは、2009年から使用されているものです。
氷菓子の「サクレ」などを主力製品とするメーカーはどこでしょう？,ヒトツバ食品,フタバ食品,ミツバ食品,ヨツバ食品,フタバ食品,正式なメーカー名は「フタバ食品株式会社」。本社は栃木県宇都宮市にあります。主力商品の一つである「サクレ」は、1985年に発売を開始した氷菓子です。
次のうち、栃木県宇都宮市にある「来らっせ 本店」の常設店舗ではない餃子店はどこでしょう？,宇都宮みんみん,龍門,餃子会館,さつき,餃子会館,餃子会館は「来らっせ」の日替わり店舗の中の一つで、土曜日のラインナップの一つとなっています。ちなみに、常設店舗は「宇都宮みんみん」「めんめん」「香蘭」「龍門」「さつき」の5店舗です。
カリフラワーは、元々何の野菜から改良されたものでしょう？,ナス,キャベツ,レタス,ダイコン,キャベツ,カリフラワーは、キャベツの一変種から改良された野菜です。このため、「花キャベツ」と呼ばれることもあります。
次の4人の俳人のうち、「柿くへば鐘が鳴るなり法隆寺」という俳句を詠んだのは誰でしょう？,小林一茶,松尾芭蕉,与謝蕪村,正岡子規,正岡子規,茶店で一服して柿を食べると、途端に法隆寺の鐘が鳴り、その響きに秋を感じた、というのが句意であるとされています。
英語の「lemon」という単語の意味として適切なものはどれでしょう？,新品,中古品,欠陥品,廃品,欠陥品,主にアメリカ英語で用いられる表現で、特に欠陥車のことを表すことが多いそうです。
次の4人の作家のうち、その忌日が「檸檬忌」と呼ばれるのは誰でしょう？,梶井基次郎,幸田露伴,太宰治,芥川龍之介,梶井基次郎,梶井基次郎の作品『檸檬』がその由来で、3月24日のことを指します。
サツマイモの美味しさを称えた慣用句と言えば、「栗よりうまい何」でしょう？,十里,十一里,十二里,十三里,十三里,「栗」を「九里」、「より」を「四里」にかけ、足して「十三里」と表現した慣用句です。
次のうち、塩のことを表す女房詞はどれでしょう？,波の花,海の花,潮の花,水の花,波の花,「波の花」は、波の白く泡立つのを花にたとえていう語でもあります。
食塩の主成分である物質の化学式として正しいものはどれでしょう？,HCl,KCl,NaCl,CaCl₂,NaCl,食塩の主成分は「塩化ナトリウム」で、その化学式は「NaCl」です。
2017年の日本において、ブドウの生産量が最も多い都道府県はどこでしょう？,山形県,長野県,山梨県,岡山県,山梨県,農林水産省の統計によると、2017年のブドウの生産量は、多い順に山梨県43200トン、長野県25900トン、山形県16700トン、岡山県16700トンとなっています。
